,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
32,Explained : The Budget 2023-24 - In News | Drishti IAS English,https://www.youtube.com/watch?v=Z_lWiAArObY,CNBC-TV18,22:20,"40,357",1.2K,26,30
33,Union Budget Simplified: 12 Key Terms to Know Ahead of Budget 2023,https://www.youtube.com/watch?v=te2twORAPgA,BBC News Hindi,8:08,"5,940",348,14,33
34,Budget 2023 latest update finance minister and other ministries preparation for budget,https://www.youtube.com/watch?v=HoN3A9HQPGg,ABP NEWS,1:12:49,"19,395",222,22,78
35,Union Budget 2023: Income Tax में कितनी मिली राहत?। । Finance। India Union Budget। Economic Survey,https://www.youtube.com/watch?v=-vqAtMAztr0,wifistudy 2.0,42:39,"28,874",146,6,30
36,Union Budget 2023: Key takeaways from the Economic Survey | WION Originals,https://www.youtube.com/watch?v=A3ummpdDNNY,Drishti IAS : English,27:42,"27,711",182,45,31
37,Emerging Markets: What to Watch for in India's New Budget,https://www.youtube.com/watch?v=jgQHZRWDpKU,Basic Gyaan,1:12:49,"7,917",107,14,31
38,Live | Union Budget 2023 | New Tax Slabs | FM Nirmala Sitharaman | Complete Analysis & News,https://www.youtube.com/watch?v=2OpeiCh4aVo,Zee Business,28:54,"266,300",2K,10,30
39,Budget 2023: 7 Priorities Or 'Saptarishi In Union Budget 2023 To Guide India Through 'Amrit Kaal',https://www.youtube.com/watch?v=uIYpijszQMQ,ABP NEWS,12:58,"13,558",104,21,30
40,BUDGET 2023: Key Highlights & Analysis | Unpacking the Union Budget 2023 | Neeraj Arora,https://www.youtube.com/watch?v=TlAiEB4uWL0,WION,28:26,"57,427",2.8K,87,30
41,LIVE | Union Budget 2023 | What are the big takeaways from Modi Govt's Budget 2023? | ThePrint,https://www.youtube.com/watch?v=4iZHEhG0V0g,Bloomberg Television,39:33,"24,639",282,45,30
42,Budget 2023: Who Will Get What?,https://www.youtube.com/watch?v=T77SeCx5QRA,moneycontrol,41:50,"35,641",155,30,30
43,Indian residents reactions on Union Budget 2023 | WION News,https://www.youtube.com/watch?v=ci9-KQZFfj4,CNBC-TV18,3:50,"6,335",81,23,29
44,India's Budget 2023 | From tax breaks to capital expenditure push | Vantage with Palki Sharma,https://www.youtube.com/watch?v=5HGHr4m1AZ0,Neeraj Arora,1:55,"115,721",3.6K,244,30
45,BUDGET 2023: New Tax Slabs 2023 | Sectors for Stock Market | Nirmala Sitharaman |Harsh Goela,https://www.youtube.com/watch?v=yS8B2-syliU,ThePrint,15:56,"47,540",2.5K,951,30
46,Budget 2023: निर्मला ताई! क्या बजट है भाई? | Modi Govt | Nirmala Sitharaman | RJ Raunak,https://www.youtube.com/watch?v=DCIb6ICBIqY,NDTV,10:31,"358,348",23K,584,29
47,Black and White: Budget की 5 बड़ी बातें | Budget 2023 | Nirmala Sitharaman | Sudhir Chaudhary,https://www.youtube.com/watch?v=uAmahvyK0lY,WION,16:06,"37,059",810,56,30
48,News Analysis 02 Feb 2023 |Union Budget 2023-24 Highlights : The Indian Express | UPSC 2023,https://www.youtube.com/watch?v=n1uSN9sgeAs,Firstpost,,"24,787",1.6K,47,29
49,India Budget 2023 Highlights: What are the changes in income tax slabs for FY 2023-24? | WION Live,https://www.youtube.com/watch?v=h2TqiMcN8ps,Goela School of Finance LLP,52:48,"93,101",709,12,30
50,"Budget 2023 : भारत के Budget में सभी पड़ोसी देशों को क्या मिला, रोया Pakistan ! Nirmala Sitharaman",https://www.youtube.com/watch?v=DorfQdcLlTs,RJ Raunac,12:27,"1,021,272",17K,583,30
51,Indian Budget 2023 - Do NRIs Benefit?,https://www.youtube.com/watch?v=USB6JQaYuRA,moneycontrol,12:58,"1,279",Like,0,29
52,Union Budget 2023 Analysis | Dr. Mahipal Rathore #Budget2023 #UPSC,https://www.youtube.com/watch?v=OO_sMVTFgsY,Aaj Tak,19:49,"37,591",2.2K,170,28
53,What changes for you after Budget 2023? | Union Budget 2023-24 | FM Nirmala Sitharaman Budget 2023,https://www.youtube.com/watch?v=DK8krrDdx2k,Drishti IAS,28:54,"37,615",1.6K,113,29
54,Renewable energy and Biogas plants | Union budget 2023-24 Focus,https://www.youtube.com/watch?v=Wo_BrUzpQ0M,Navi,4:22,"11,656",497,10,29
55,"India Budget 2023: Gold, diamond, and silver to cost more as customs duty hiked",https://www.youtube.com/watch?v=Qeh0x6z9OHM,WION,3:55,"5,710",47,6,30
56,Union Budget 2023-24 HIGHLIGHTS | Budget 2023 Current Affairs by Ashish Gautam | UPSC | SSC | BANK,https://www.youtube.com/watch?v=MzthQyHmW2U,Zee News,1:28:12,"222,793",11K,224,30
57,Budget 2023: India Could Lose Crypto Investors to Foreign Exchanges if Taxation Doesn’t Change,https://www.youtube.com/watch?v=nJ_vuseWQU0,Khaleej Times,1:40,"1,952",21,37,31
58,India Budget 2023: Indian Finance minister Nirmala Sitharaman announces Green Hydrogen mission,https://www.youtube.com/watch?v=LroFvdt970U,PathFinder,28:00,"4,776",55,13,30
59,"Budget 2023: ""World Has Recognised Indian Economy As A Bright Star"", Says Nirmala Sitharaman",https://www.youtube.com/watch?v=vdDiCHmr7aE,Groww,25:21,"1,316",16,0,30
60,MP Budget 2023-24: देखिए Shivraj Singh सरकार के बजट से जुड़ी पूरी जानकारी | Ladali Behna Yojna,https://www.youtube.com/watch?v=A_SxP75IT0o,Down To Earth,12:55,"5,809",77,15,2
61,COMPLETE BUDGET 2023 - Full Analysis क्या सस्ता क्या महंगा By Varun Awasthi,https://www.youtube.com/watch?v=UCTvtS6aAvI,WION,34:35,"143,219",9.4K,249,30
62,"Budget 2023: FM Nirmala Sitharaman, PM Modi Reach Parliament, Budget To Be Tabled At 11 AM",https://www.youtube.com/watch?v=xkTAPc5itDE,Adda247,6:02,"2,138",19,0,30
63,Huge Funds Allocated For Defence And Railways In Union Budget 2023-24 | Ntv,https://www.youtube.com/watch?v=2w7QV87pcjs,India Today,18:16,"6,365",30,5,30
64,Budget 2023: Insurance Policies With Premiums Above Rs 5 Lakh To Be Taxable | Take A Look,https://www.youtube.com/watch?v=5aOwFQME-_I,WION,14:28,"8,103",56,25,30
65,Union Budget 2023: Some fun facts of India's largest finance presentation,https://www.youtube.com/watch?v=3F35HmdvQC0,NDTV,4:58,"7,562",24,0,31
66,Budget 2023 Green Growth Initiatives | Seven Priorities - Saptrishi | UPSC CSE 2023,https://www.youtube.com/watch?v=npq0QLNyVng,News18 India,10:39,"12,383",694,24,29
